"Gemeenten";"Bevolking totaal|2019";"Leeftijd bevolking|2019";"Bevolkingsdichtheid|2019";"Bevolking -4 jaar|2019";"Bevolking 5-9 jaar|2019";"Bevolking 10-14 jaar|2019";"Bevolking -14 jaar|2019";"Bevolking 15-24 jaar|2019";"Bevolking 25-34 jaar|2019";"Bevolking 35-44 jaar|2019";"Bevolking 45-54 jaar|2019";"Bevolking 55-64 jaar|2019";"Bevolking 65-74 jaar|2019";"Bevolking 75-84 jaar|2019";"Bevolking 85+ jaar|2019";"Bevolking 25-44 jaar|2019";"Bevolking 45-64 jaar|2019";"Bevolking totaal vrouwen|2019";"Bevolking totaal mannen|2019";"Groene druk (-19 t.o.v. 20-64 jaar)|2019";"Grijze druk (65+ t.o.v. 20-64 jaar)|2019";"Demografische druk (Groene + grijze druk tov 20-64)|2019";"Huishoudens totaal|2019";"Huishoudens alleenstaand totaal|2019";"Huishoudens samenwonend totaal|2019";"Huishoudens samenwonend zonder kinderen totaal|2019";"Huishoudens samenwonend met kind en eenoudergezinnen totaal|2019";"Huishoudens eenouder totaal|2019";"Personen per huishouden|2019"
"Aa en Hunze";25386;46,8;92;922;1174;1366;3462;2610;1914;2433;3996;4358;3911;2020;682;4347;8354;12727;12659;36,7;48,2;84,9;11152;3254;7898;4336;3562;590;2,29
"Aalsmeer";31728;41,6;1577;1506;1970;2246;5722;3679;3061;4012;5442;3982;3213;1904;713;7073;9424;16034;15694;42,8;32,2;75,0;13089;3790;9299;3839;5460;960;2,43
"Aalten";27011;44,0;280;1197;1415;1682;4294;3030;2569;2846;4179;4129;3363;1932;669;5415;8308;13452;13559;39,7;39,6;79,3;11399;3370;8029;3939;4090;652;2,38
"Achtkarspelen";27852;41,7;272;1423;1636;1877;4936;3360;2966;3224;4119;3789;3291;1637;530;6190;7908;13685;14167;43,9;35,1;78,9;11717;3532;8185;3686;4499;838;2,40
"Alblasserdam";20069;40,8;2286;1273;1318;1293;3884;2475;2350;2185;2906;2309;2066;1380;514;4535;5215;10216;9853;47,5;36,3;83,8;8166;2442;5724;2502;3222;582;2,46
"Albrandswaard";25271;41,4;1165;1283;1571;1714;4568;2788;2360;3358;4285;3576;2580;1265;491;5718;7861;12753;12518;41,9;29,4;71,3;10180;2661;7519;3097;4422;817;2,49
"Alkmaar";108558;42,3;983;5479;5770;5691;16940;11838;14340;13581;15797;15147;12542;6144;2229;27921;30944;54863;53695;35,6;32,4;68,0;51654;20930;30724;14130;16594;4239;2,12
"Almelo";72849;42,0;1083;3475;3861;4411;11747;8931;8575;8772;11043;9610;8157;4410;1604;17347;20653;36428;36421;39,1;33,6;72,7;32679;11985;20694;9211;11483;2669;2,25
"Almere";207904;37,9;1609;12548;13114;13405;39067;26989;29526;28245;31862;28781;15681;5762;1991;57771;60643;104822;103082;40,5;17,9;58,4;87390;27837;59553;21444;38109;10658;2,39
"Alphen aan den Rijn";110986;41,7;879;5671;6280;6511;18462;13105;13285;13878;16452;14972;12446;6254;2132;27163;31424;55703;55283;39,5;32,2;71,7;48241;15857;32384;14972;17412;3402;2,32
"Alphen-Chaam";10149;44,6;109;472;526;511;1509;1158;897;1093;1550;1656;1326;736;224;1990;3206;4955;5194;37,2;39,9;77,1;4172;1019;3153;1621;1532;234;2,44
"Altena";55386;41,5;276;3040;3279;3514;9833;6774;6123;6249;8299;7359;6378;3281;1090;12372;15658;27510;27876;43,3;34,5;77,8;22014;5909;16105;7279;8826;1227;2,53
"Ameland";3673;43,6;62;168;198;219;585;381;445;403;519;512;503;254;71;848;1031;1854;1819;35,7;39,5;75,2;1712;665;1047;540;507;78;2,17
"Amersfoort";156286;39,4;2496;8993;9786;10140;28919;18740;20573;21107;24589;19380;13453;6736;2789;41680;43969;79249;77037;41,6;24,4;66,0;68517;25051;43466;18071;25395;5286;2,29
"Amstelveen";90838;41,3;2209;5132;5763;5017;15912;10655;11281;12348;12284;10957;8914;5681;2806;23629;23241;47188;43650;39,5;33,0;72,5;43326;18754;24572;10215;14357;3111;2,10
"Amsterdam";862965;38,3;5214;46291;40973;38338;125602;108487;186331;124737;113350;96478;65993;30877;11110;311068;209828;435178;427787;28,3;18,3;46,6;470223;257453;212770;98584;114186;40415;1,83
"Apeldoorn";162445;42,9;478;7879;8537;9141;25557;18750;18823;18667;24053;22899;19443;10274;3979;37490;46952;81565;80880;38,3;36,2;74,5;72894;26307;46587;22346;24241;5163;2,23
"Appingedam";11721;45,3;493;488;566;664;1718;1238;1157;1219;1719;1772;1628;949;321;2376;3491;6001;5720;37,8;45,3;83,1;5531;2097;3434;1729;1705;470;2,13
"Arnhem";159265;39,6;1628;8169;8606;8423;25198;21175;25058;21635;23025;19054;14379;6966;2775;46693;42079;79692;79573;34,1;23,9;58,1;80150;38424;41726;18958;22768;6569;1,99
"Assen";67963;42,4;830;3195;3724;4217;11136;7943;7418;8227;10325;9438;7761;4160;1555;15645;19763;34320;33643;40,3;34,7;75,0;31026;11815;19211;8950;10261;2564;2,21
"Asten";16710;43,7;238;757;801;962;2520;1994;1822;1740;2464;2484;2161;1181;344;3562;4948;8118;8592;38,0;39,0;77,0;7131;2279;4852;2319;2533;380;2,36
"Baarle-Nassau";6847;46,7;90;292;313;323;928;625;674;760;938;1095;1033;600;194;1434;2033;3370;3477;33,9;48,7;82,6;3065;999;2066;1079;987;189;2,23
"Baarn";24767;44,5;761;1189;1355;1389;3933;2468;2399;2805;3717;3670;3140;1842;793;5204;7387;12782;11985;39,3;42,4;81,7;11080;4223;6857;3252;3605;771;2,24
"Barendrecht";48673;40,9;2464;2496;3062;3381;8939;6218;4349;6092;8451;6276;4868;2579;901;10441;14727;24674;23999;45,3;30,1;75,4;19259;4796;14463;5839;8624;1534;2,54
"Barneveld";57971;38,3;330;4214;4203;4011;12428;7976;7484;6244;7564;6788;5196;3097;1194;13728;14352;29054;28917;52,5;29,8;82,4;21881;6119;15762;6601;9161;1086;2,66
"Beek";15929;46,8;757;601;633;679;1913;1643;1719;1562;2355;2662;2246;1359;470;3281;5017;8155;7774;30,9;45,0;76,0;7340;2334;5006;2670;2336;502;2,18
"Beekdaelen";35727;46,8;456;1379;1553;1669;4601;3570;3377;3671;5313;5965;5197;3008;1025;7048;11278;17942;17785;32,6;46,2;78,8;16097;4829;11268;5930;5338;1092;2,24
"Beemster";9748;42,7;138;542;570;518;1630;1098;982;1150;1502;1428;1141;602;215;2132;2930;4899;4849;39,8;35,1;75,0;3947;1057;2890;1290;1600;243;2,47
"Beesel";13519;44,8;483;564;637;725;1926;1522;1359;1421;2087;2088;1811;983;322;2780;4175;6712;6807;35,8;40,7;76,4;5892;1701;4191;2096;2095;365;2,30
"Berg en Dal";34798;45,7;403;1390;1527;1751;4668;3874;3366;3419;5448;5552;4791;2651;1029;6785;11000;17474;17324;34,8;43,4;78,2;15702;5410;10292;5187;5105;1018;2,23
"Bergeijk";18491;44,0;183;804;853;1049;2706;2240;1952;1893;2769;2868;2336;1329;398;3845;5637;9051;9440;36,6;38,5;75,0;7778;2164;5614;2774;2840;438;2,39
"Bergen (L.)";13140;45,6;127;520;547;686;1753;1462;1250;1265;2110;2235;1814;948;303;2515;4345;6565;6575;33,6;40,6;74,3;5621;1560;4061;2063;1998;332;2,35
"Bergen (NH.)";29974;49,3;303;858;1195;1558;3611;3221;1772;2447;4607;4742;5321;3041;1212;4219;9349;15507;14467;37,0;64,3;101,3;13852;5110;8742;4604;4138;952;2,18
"Bergen op Zoom";66811;43,6;836;3174;3334;3478;9986;7453;7626;7505;10266;9733;8330;4412;1500;15131;19999;33659;33152;36,1;36,9;72,9;29991;10345;19646;9642;10004;2263;2,24
"Berkelland";43904;45,3;170;1701;2069;2616;6386;4982;3968;4239;6839;6684;6192;3466;1148;8207;13523;21913;21991;38,6;45,3;83,9;18805;5564;13241;6726;6515;1011;2,36
"Bernheze";30806;42,8;343;1441;1599;1860;4900;3902;3262;3351;4577;4481;3597;1975;761;6613;9058;15277;15529;40,5;36,4;76,9;12345;3270;9075;4114;4961;736;2,51
"Best";29821;42,5;869;1400;1529;1744;4673;3758;3241;3243;4859;4408;3173;1874;592;6484;9267;14894;14927;38,9;32,4;71,3;12653;3653;9000;4068;4932;911;2,37
"Beuningen";25882;43,2;593;1286;1241;1380;3907;2976;2723;2851;4162;4309;3037;1470;447;5574;8471;12958;12924;36,4;32,3;68,7;11094;3090;8004;3768;4236;761;2,33
"Beverwijk";41176;41,6;2238;2179;2180;2220;6579;4626;5847;4965;6189;5514;4196;2300;960;10812;11703;20594;20582;36,0;30,1;66,0;18921;7287;11634;5048;6586;1602;2,18
"Bladel";20175;43,5;268;929;1034;1127;3090;2361;2252;2177;2981;2989;2439;1426;460;4429;5970;9948;10227;38,1;37,7;75,8;8503;2512;5991;2920;3071;490;2,37
"Blaricum";11202;43,9;1008;718;649;639;2006;1048;1006;1265;1576;1480;1778;828;215;2271;3056;5747;5455;47,0;49,5;96,5;4845;1470;3375;1593;1782;324;2,28
"Bloemendaal";23410;45,4;588;988;1530;1652;4170;2514;1151;2390;3642;3374;3180;1997;992;3541;7016;12089;11321;51,0;54,0;105,0;9724;3063;6661;3065;3596;610;2,40
"Bodegraven-Reeuwijk";34462;41,7;457;1981;1993;2129;6103;4195;3848;3819;4984;4668;3978;2164;703;7667;9652;17234;17228;43,7;35,6;79,3;14161;4039;10122;4671;5451;844;2,45
"Boekel";10588;41,7;307;516;529;693;1738;1382;1228;1160;1631;1468;1178;610;193;2388;3099;5186;5402;40,6;32,4;73,0;4062;1026;3036;1340;1696;225;2,62
"Borger-Odoorn";25372;45,8;92;1015;1201;1332;3548;2687;2217;2441;4115;4182;3700;1877;605;4658;8297;12669;12703;35,6;43,7;79,3;11123;3095;8028;4386;3642;623;2,29
