"Gemeenten";"Banen Totaal";"Vestigingen Totaal";"Banen Landbouw";"Banen Industrie";"Banen Collectieve dienstverlening";"Banen Handel";"Banen Zakelijke dienstverlening";"Banen Overige dienstverlening";"Banen Recreatie en toerisme";"Beroepsbevolking";"Zelfstandige";"Werknemer"
"Aa en Hunze";8490;2530;660;960;2770;1490;2390;220;1040;13;2;10
"Aalsmeer";16110;3120;650;2060;2260;5840;5090;210;1580;17;3;14
"Aalten";10990;2180;690;2910;2760;2730;1650;250;570;14;2;12
"Achtkarspelen";9350;2520;600;3100;1870;1880;1620;280;450;14;3;11
"Alblasserdam";9100;1570;30;1900;1430;2680;2940;120;550;10;2;8
"Albrandswaard";10180;1660;60;670;2850;1620;4840;140;250;14;2;11
"Alkmaar";58080;10290;620;7050;19650;11810;17680;1270;3170;59;9;47
"Almelo";43050;5730;290;11310;14180;7850;8740;680;1980;37;6;29
"Almere";88330;20860;370;9910;27460;19250;29010;2330;5700;114;14;95
"Alphen aan den Rijn";48360;10380;2460;7400;12430;11500;13460;1110;2410;61;9;50
"Alphen-Chaam";3420;1240;850;580;580;560;770;80;300;5;1;4
"Altena";20610;5600;1020;5090;3930;4740;5310;520;820;30;5;22
"Ameland";2240;530;120;200;390;300;1200;30;950;2;0;2
"Amersfoort";89440;17110;190;8570;28240;17030;32570;2840;5540;87;14;70
"Amstelveen";53870;11000;350;2240;13600;8820;27910;950;2530;47;8;37
"Amsterdam";684370;160490;220;39560;189510;87210;352950;14920;82180;481;108;350
"Apeldoorn";100790;13900;580;16110;36870;13970;31510;1750;6250;84;11;70
"Appingedam";4460;640;90;1020;1450;820;980;100;290;6;1;4
"Arnhem";107170;16270;340;12220;42070;12700;38020;1820;7770;84;12;68
"Assen";41660;4940;210;5110;18110;5950;11630;650;2290;35;5;29
"Asten";8110;1940;1030;1770;1480;1530;2130;170;740;9;2;7
"Baarle-Nassau";3320;910;410;780;480;910;660;80;330;3;1;3
"Baarn";11780;3180;70;1080;3730;2240;4320;340;880;12;2;9
"Barendrecht";27220;4120;70;3090;5390;7340;10790;540;950;27;4;22
"Barneveld";34560;6300;1130;7980;8960;6760;9280;450;2080;30;5;24
"Beek";9590;1580;60;1590;1230;2110;4410;190;570;8;1;7
"Beekdaelen";10950;3210;330;2000;2750;2340;2880;650;690;19;3;14
"Beemster";3710;1070;420;870;890;690;780;60;230;5;1;4
"Beesel";3610;1000;130;920;770;730;940;120;440;7;1;6
"Berg en Dal";13920;3000;260;1680;7120;1670;2810;380;1350;18;3;14
"Bergeijk";8110;2220;550;2580;940;1620;2250;170;1300;10;1;8
"Bergen (L.)";4410;1190;500;1020;900;1060;820;110;370;7;1;6
"Bergen (NH.)";10740;3380;410;920;3560;1820;3750;280;2250;14;3;11
"Bergen op Zoom";30340;5590;280;5690;10490;5220;7960;700;1840;34;5;28
"Berkelland";17140;4060;1560;3850;4360;3410;3600;360;1080;23;3;19
"Bernheze";11510;2790;790;2120;2440;2890;2980;290;870;17;3;14
"Best";15010;2720;220;4770;2310;3420;4020;270;760;16;2;14
"Beuningen";8500;2240;190;1590;2230;2210;2050;230;590;15;2;12
