"Gemeenten";"Levensverwachting";"Gebruik eerstelijnszorg huisartsen";"Gebruik basis GGZ en/of POH-GGZ";"Gebruik wijkverpleging";"Personen met 2 of meer chronische aandoeningen";"Gebruik diabetes type II";"Gebruik psychische problematiek";"Verminderde mobiliteit";"Jongeren met jeugdhulp, jeugdbescherming en jeugdreclassering";"Chronische aandoening - Hartfalen - Patiënten/Cliënten";"Chronische aandoening - COPD en Astma - Patiënten/Cliënten";"Chronische aandoening - Diabetes - Patiënten/Cliënten";"Chronische aandoening - Kanker - Patiënten/Cliënten";"Chronische aandoening - Reuma - Patiënten/Cliënten";"Vrijwilligerswerk";"Mantelzorg verlenen";"Mantelzorgerverleners zwaar belast";"Onveiligheidsgevoelens";"Kinderen in uitkeringsgezin";"Eenzaamheid";"Blootstelling NO2";"Gemiddelde afstand tot sportterrein";"Blootstelling PM10";"Beweegt voldoende";"Roken";"Overgewicht"
"Aa en Hunze";82,5;79,4;3,0;4,1;4,9;6,7;7,5;10,9;"";970;880;753;1027;529;31,8;17,0;15,1;"";4;40,7;10,4;1,1;15,1;65,4;17,5;54,9
"Aalsmeer";83,2;79,4;3,8;2,5;4,0;5,0;7,6;7,4;"";936;1056;604;958;488;34,2;13,4;18,5;"";3;36,8;20,3;0,8;18,9;62,1;20,8;49,2
"Aalten";82,0;92,7;4,7;4,6;5,6;6,0;9,2;8,4;"";1053;1156;682;939;692;41,9;20,1;11,9;"";3;38,5;16,2;1,0;18,5;70,4;19,0;53,2
"Achtkarspelen";81,0;79,6;3,5;3,7;5,5;6,3;9,8;9,1;"";1064;1642;658;1181;644;37,6;14,1;"-";"";6;42,2;9,9;0,7;15,5;63,8;22,1;58,3
"Alblasserdam";82,8;80,1;4,4;4,3;4,9;6,2;9,7;10,3;"";733;1052;421;753;446;31,3;12,6;"-";"";4;43,2;22,7;0,7;20,3;57,4;18,2;50,5
"Albrandswaard";82,7;80,1;4,3;2,0;4,1;4,9;8,7;6,3;"";843;944;428;765;520;28,0;11,6;8,5;"";3;37,2;23,6;0,6;19,5;57,2;18,0;51,6
"Alkmaar";81,7;78,8;2,5;2,9;4,5;5,5;8,3;8,9;"";3303;4850;1988;3615;1871;25,6;15,5;11,1;19,9;6;43,2;16,9;0,7;18,7;65,7;23,9;45,6
"Almelo";79,7;82,2;4,9;4,5;5,8;7,2;10,1;12,5;10;3027;3556;1950;3359;1575;27,2;16,1;17,8;19,5;9;44,0;16,4;0,7;18,4;66,7;26,5;55,0
"Almere";81,8;80,1;5,3;2,0;3,7;5,6;9,7;11,1;20;7257;7401;2671;7181;3151;20,5;14,8;14,5;20,4;8;45,5;15,8;0,8;18,3;52,4;17,2;54,4
"Alphen aan den Rijn";82,2;79,5;4,6;2,8;4,7;4,8;9,7;9,6;10;3976;5079;2103;3583;2313;29,4;14,0;16,3;13,0;4;41,6;19,1;0,7;19,5;62,6;20,5;51,2
"Alphen-Chaam";84,0;79,8;3,5;2,8;4,5;5,6;7,4;6,0;"";380;363;243;332;134;34,8;20,6;10,5;"";4;37,4;16,0;1,0;18,8;67,6;13,1;48,2
"Altena";82,0;79,7;3,5;2,9;4,9;5,2;8,6;8,2;"";1816;2656;1324;1744;1110;38,6;17,2;13,7;"";3;40,7;17,8;0,8;19,1;56,5;16,9;52,2
