"Gemeenten";"Verplaatsingen met auto als bestuurder";"Verplaatsingen met auto als passagier";"Verplaatsingen met trein";"Verplaatsingen met bus/tram/metro";"Verplaatsingen met fiets";"Verplaatsingen met bromfiets/snorfiets";"Verplaatsingen door te lopen";"Verplaatsingen overig";"Gemiddelde afstand tot ziekenhuis (incl. buitenpolikliniek)";"Gemiddelde afstand tot huisartsenpraktijk";"Gemiddelde afstand tot school basisonderwijs";"Gemiddelde afstand tot school voortgezet onderwijs totaal";"Gemiddelde afstand tot kinderdagverblijf";"Kinderdagverblijven binnen 1 km";"Gemiddelde afstand tot buitenschoolse opvang";"Gemiddelde afstand tot treinstations totaal";"Gemiddelde afstand tot sportterrein";"Gemiddelde afstand tot oprit hoofdverkeersweg";"Buitenschoolse opvang binnen 1 km";"Gemiddelde afstand tot brandweerkazerne"
"Aa en Hunze";38,9;18,2;0,6;1,9;25,7;0,8;12,5;1,5;10,7;2,5;1,2;5,1;1,1;1,2;1,2;12,8;1,1;1,6;1,2;2,7
"Aalsmeer";40,9;17,2;0,3;2,6;21,6;2,4;13,1;1,8;5,2;0,9;0,7;2,5;0,7;1,1;0,7;8,3;0,8;1,1;1,3;2,9
"Aalten";31,1;16,6;0,9;0,3;37,6;0,2;11,1;2,2;8,3;1,3;0,8;1,8;1,2;1,0;1,0;4,4;1,0;1,0;1,1;1,7
"Achtkarspelen";34,7;15,7;1,2;0,5;32,6;0,8;13,1;1,5;15,7;1,6;0,7;3,4;0,8;1,1;2,1;7,2;0,7;1,3;0,5;2,2
"Alblasserdam";32,5;12,5;0,1;1,7;30,1;0,4;21,6;1,1;7,7;0,8;0,5;4,8;0,5;3,3;0,4;8,7;0,7;2,3;3,3;1,6
"Albrandswaard";35,8;19,2;0,5;3,3;21,4;0,7;16,2;2,9;3,4;0,8;0,8;3,8;0,7;1,5;0,9;8,9;0,6;1,6;1,3;2,7
"Alkmaar";30,1;11,8;3,0;1,2;32,8;1,9;17,3;2,0;3,9;0,9;0,6;2,0;0,5;3,0;0,7;3,0;0,7;1,1;2,2;1,9
"Almelo";33,6;16,7;2,3;0,8;28,6;1,0;15,7;1,2;3,7;1,0;0,7;1,5;0,7;1,8;0,8;2,4;0,7;2,5;1,3;2,7
"Almere";32,4;16,2;4,2;6,4;17,9;0,9;20,8;1,2;4,1;0,8;0,6;1,5;0,5;4,4;0,5;2,0;0,8;1,5;4,5;2,9
"Alphen aan den Rijn";32,3;13,9;1,9;0,9;30,0;1,1;18,1;1,7;4,3;0,8;0,7;1,9;0,7;2,3;0,7;3,4;0,7;1,7;2,0;2,1
"Alphen-Chaam";36,1;18,8;1,3;0,4;21,9;0,4;19,6;1,6;12,0;1,6;1,0;7,0;1,0;1,3;1,0;12,8;1,0;1,1;0,9;1,7
