Municipalities,New_cases,Number,Provincienaam,date
Appingedam,0.0,1.0,Groningen,2020-03-31
Appingedam,0.0,1.0,Groningen,2020-04-01
Appingedam,0.0,1.0,Groningen,2020-04-02
Appingedam,0.0,1.0,Groningen,2020-04-03
Appingedam,0.0,1.0,Groningen,2020-04-04
Appingedam,0.0,1.0,Groningen,2020-04-05
Appingedam,0.0,1.0,Groningen,2020-04-06
Appingedam,0.0,1.0,Groningen,2020-04-07
Appingedam,0.0,1.0,Groningen,2020-04-08
Delfzijl,0.0,7.0,Groningen,2020-03-31
Delfzijl,0.0,7.0,Groningen,2020-04-01
Delfzijl,0.0,7.0,Groningen,2020-04-02
Delfzijl,0.0,7.0,Groningen,2020-04-03
Delfzijl,0.0,7.0,Groningen,2020-04-04
Delfzijl,0.0,7.0,Groningen,2020-04-05
Delfzijl,0.0,7.0,Groningen,2020-04-06
Delfzijl,0.0,7.0,Groningen,2020-04-07
Delfzijl,0.0,7.0,Groningen,2020-04-08
Groningen,2.0,90.0,Groningen,2020-03-31
Groningen,3.0,93.0,Groningen,2020-04-01
Groningen,3.0,96.0,Groningen,2020-04-02
Groningen,3.0,99.0,Groningen,2020-04-03
Groningen,3.0,102.0,Groningen,2020-04-04
Groningen,4.0,106.0,Groningen,2020-04-05
Groningen,3.0,109.0,Groningen,2020-04-06
Groningen,2.0,111.0,Groningen,2020-04-07
Groningen,3.0,114.0,Groningen,2020-04-08
Loppersum,0.0,1.0,Groningen,2020-03-31
Loppersum,0.0,1.0,Groningen,2020-04-01
Loppersum,0.0,1.0,Groningen,2020-04-02
Loppersum,0.0,1.0,Groningen,2020-04-03
Loppersum,0.0,1.0,Groningen,2020-04-04
Loppersum,0.0,1.0,Groningen,2020-04-05
Loppersum,0.0,1.0,Groningen,2020-04-06
Loppersum,0.0,1.0,Groningen,2020-04-07
Loppersum,0.0,1.0,Groningen,2020-04-08
Almere,6.0,66.0,Flevoland,2020-03-31
Almere,8.0,74.0,Flevoland,2020-04-01
Almere,8.0,82.0,Flevoland,2020-04-02
Almere,8.0,90.0,Flevoland,2020-04-03
Almere,7.0,97.0,Flevoland,2020-04-04
Almere,9.0,106.0,Flevoland,2020-04-05
Almere,7.0,113.0,Flevoland,2020-04-06
Almere,6.0,119.0,Flevoland,2020-04-07
Almere,7.0,126.0,Flevoland,2020-04-08
Stadskanaal,0.0,1.0,Groningen,2020-03-31
Stadskanaal,0.0,1.0,Groningen,2020-04-01
Stadskanaal,0.0,1.0,Groningen,2020-04-02
Stadskanaal,0.0,1.0,Groningen,2020-04-03
Stadskanaal,0.0,1.0,Groningen,2020-04-04
Stadskanaal,0.0,1.0,Groningen,2020-04-05
Stadskanaal,0.0,1.0,Groningen,2020-04-06
Stadskanaal,0.0,1.0,Groningen,2020-04-07
Stadskanaal,0.0,1.0,Groningen,2020-04-08
Veendam,0.0,2.0,Groningen,2020-03-31
Veendam,0.0,2.0,Groningen,2020-04-01
Veendam,0.0,2.0,Groningen,2020-04-02
Veendam,0.0,2.0,Groningen,2020-04-03
Veendam,0.0,2.0,Groningen,2020-04-04
Veendam,0.0,2.0,Groningen,2020-04-05
Veendam,0.0,2.0,Groningen,2020-04-06
Veendam,0.0,2.0,Groningen,2020-04-07
Veendam,0.0,2.0,Groningen,2020-04-08
Zeewolde,0.0,9.0,Flevoland,2020-03-31
Zeewolde,0.0,9.0,Flevoland,2020-04-01
Zeewolde,0.0,9.0,Flevoland,2020-04-02
