municipality Name,Municipal Code,Provincienaam
Tilburg,855,Noord-Brabant
Diemen,384,Noord-Holland
Delft,503,Zuid-Holland
Coevorden,109,Drenthe
Altena,1959,Noord-Brabant
Houten,321,Utrecht
Utrecht,344,Utrecht
Haarlem,392,Noord-Holland
Alphen aan den Rijn,484,Zuid-Holland
Rotterdam,599,Zuid-Holland
Eindhoven,772,Noord-Brabant
Helmond,794,Noord-Brabant
Loon op Zand,809,Noord-Brabant
Oss,828,Noord-Brabant
Zaltbommel,297,Gelderland
Amsterdam,363,Noord-Holland
Beverwijk,375,Noord-Holland
Blaricum,376,Noord-Holland
Hardinxveld-Giessendam,523,Zuid-Holland
Gooise Meren,1942,Noord-Holland
Hoeksche Waard,1963,Zuid-Holland
Zeewolde,50,Flevoland
Borne,147,Overijssel
Culemborg,216,Gelderland
De Bilt,310,Utrecht
Soest,342,Utrecht
Best,753,Noord-Brabant
Dongen,766,Noord-Brabant
Sint-Michielsgestel,845,Noord-Brabant
Gemert-Bakel,1652,Noord-Brabant
Sittard-Geleen,1883,Limburg
Stichtse Vecht,1904,Utrecht
Pijnacker-Nootdorp,1926,Zuid-Holland
Almere,34,Flevoland
Arnhem,202,Gelderland
Beuningen,209,Gelderland
Nijmegen,268,Gelderland
Renkum,274,Gelderland
Wijk bij Duurstede,352,Utrecht
's-Gravenhage,518,Zuid-Holland
Westvoorne,614,Zuid-Holland
Woerden,632,Utrecht
West Maas en Waal,668,Gelderland
Breda,758,Noord-Brabant
Oisterwijk,824,Noord-Brabant
Uden,856,Noord-Brabant
Waalre,866,Noord-Brabant
Waalwijk,867,Noord-Brabant
Maastricht,935,Limburg
Simpelveld,965,Limburg
Utrechtse Heuvelrug,1581,Utrecht
Lansingerland,1621,Zuid-Holland
Lingewaard,1705,Gelderland
Bronckhorst,1876,Gelderland
Beekdaelen,1954,Limburg
West Betuwe,1960,Gelderland
Hellendoorn,163,Overijssel
Zeist,355,Utrecht
Amstelveen,362,Noord-Holland
Bloemendaal,377,Noord-Holland
Landsmeer,415,Noord-Holland
Zaanstad,479,Noord-Holland
Oegstgeest,579,Zuid-Holland
Ridderkerk,597,Zuid-Holland
's-Hertogenbosch,796,Noord-Brabant
Heusden,797,Noord-Brabant
Schouwen-Duiveland,1676,Zeeland
Bernheze,1721,Noord-Brabant
Dinkelland,1774,Overijssel
Leidschendam-Voorburg,1916,Zuid-Holland
Meierijstad,1948,Noord-Brabant
Vijfheerenlanden,1961,Utrecht
Emmen,114,Drenthe
Almelo,141,Overijssel
Zwolle,193,Overijssel
Maasdriel,263,Gelderland
Wijchen,296,Gelderland
IJsselstein,353,Utrecht
Heemstede,397,Noord-Holland
Huizen,406,Noord-Holland
Albrandswaard,613,Zuid-Holland
Bergen op Zoom,748,Noord-Brabant
Boekel,755,Noord-Brabant
Deurne,762,Noord-Brabant
Goirle,785,Noord-Brabant
Waterland,852,Noord-Holland
Zundert,879,Noord-Brabant
Roermond,957,Limburg
Landerd,1685,Noord-Brabant
Krimpenerwaard,1931,Zuid-Holland
Tubbergen,183,Overijssel
Tiel,281,Gelderland
Voorst,285,Gelderland
Noordwijk,575,Zuid-Holland
Etten-Leur,777,Noord-Brabant
Haaren,788,Noord-Brabant
Veldhoven,861,Noord-Brabant
Vught,865,Noord-Brabant
Venlo,983,Limburg
Leudal,1640,Limburg
Neder-Betuwe,1740,Gelderland
Opsterland,86,Friesland
Ermelo,233,Gelderland
Rheden,275,Gelderland
Aalsmeer,358,Noord-Holland
Alkmaar,361,Noord-Holland
Schagen,441,Noord-Holland
Gouda,513,Zuid-Holland
Leiden,546,Zuid-Holland
Waddinxveen,627,Zuid-Holland
Goes,664,Zeeland
"Nuenen, Gerwen en Nederwetten",820,Noord-Brabant
