municipality Name,Number
's-Gravenhage,4371
's-Hertogenbosch,2682
Aa en Hunze,71
Aalsmeer,306
Aalten,152
Achtkarspelen,40
Alblasserdam,188
Albrandswaard,513
Alkmaar,1181
Almelo,478
Almere,1249
Alphen aan den Rijn,893
Alphen-Chaam,431
Altena,932
Amersfoort,1315
Amstelveen,1624
Amsterdam,10408
Apeldoorn,1301
Appingedam,16
Arnhem,1212
Assen,228
Asten,296
Baarle-Nassau,41
Baarn,181
Barendrecht,591
Barneveld,552
Beek,271
Beekdaelen,826
Beemster,70
Beesel,255
Berg en Dal,1210
Bergeijk,283
Bergen (L.),76
Bergen (NH.),403
Bergen op Zoom,463
Berkelland,165
Bernheze,2050
Best,512
Beuningen,438
Beverwijk,511
Bladel,379
Blaricum,158
Bloemendaal,376
Bodegraven-Reeuwijk,225
Boekel,1052
Borger-Odoorn,27
Borne,380
Borsele,162
Boxmeer,474
Boxtel,435
Breda,4813
Brielle,177
Bronckhorst,248
Brummen,161
Brunssum,494
Bunnik,187
Bunschoten,158
Buren,217
Capelle aan den IJssel,1069
Castricum,475
Coevorden,536
Cranendonck,994
Cuijk,307
Culemborg,366
Dalfsen,399
Dantumadiel,45
De Bilt,910
De Fryske Marren,390
De Ronde Venen,445
De Wolden,185
Delft,724
Delfzijl,107
Den Helder,205
Deurne,1016
Deventer,936
Diemen,219
Dinkelland,623
Doesburg,136
Doetinchem,426
Dongen,431
Dordrecht,1131
Drechterland,211
Drimmelen,521
Dronten,452
Druten,451
Duiven,197
Echt-Susteren,572
Edam-Volendam,337
Ede,996
Eemnes,64
Eersel,396
Eijsden-Margraten,871
Eindhoven,2763
Elburg,408
Emmen,382
Enkhuizen,286
Enschede,1138
Epe,566
Ermelo,584
Etten-Leur,1051
Geertruidenberg,254
Geldrop-Mierlo,538
Gemert-Bakel,1649
Gennep,330
Gilze en Rijen,495
Goeree-Overflakkee,1855
Goes,350
Goirle,628
Gooise Meren,631
Gorinchem,664
Gouda,990
Grave,383
Groningen,1515
Gulpen-Wittem,273
Haaksbergen,248
Haaren,411
Haarlem,1802
