Municipalities,Avg. PI. per person by household position | 2011,Avg. PI. per person by household position | 2012,Avg. PI. per person by household position | 2013,Avg. PI. per person by household position | 2014,Avg. PI. per person by household position | 2015,Avg. PI. per person by household position | 2016,Avg. PI. per person by household position | 2017,Avg. PI. per person by household position | 2018,Avg. PI. per person by household position | 2011.1,Avg. PI. per person by household position | 2012.1,Avg. PI. per person by household position | 2013.1,Avg. PI. per person by household position | 2014.1,Avg. PI. per person by household position | 2015.1,Avg. PI. per person by household position | 2016.1,Avg. PI. per person by household position | 2017.1,Avg. PI. per person by household position | 2018.1,Franchisees with large debt | 2011,Franchisees with large debt | 2012,Franchisees with large debt | 2013,Franchisees with large debt | 2014,Franchisees with large debt | 2015,Franchisees with large debt | 2016,Franchisees with large debt | 2017,Franchisees with large debt | 2018
Aa en Hunze,"36,6","37,1","37,0","38,2","38,2","38,8","39,8","39,1","20,3","20,7","21,2","21,8","22,1","22,8","23,4","23,9",,,,,,,"4,1","3,3"
Aalsmeer,"42,5","42,7","43,5","43,7","44,7","45,2","47,3","46,8","22,9","23,3","23,8","24,3","24,7","25,4","26,2","26,9",,,,,,,"1,9","1,4"
Aalten,"31,8","32,0","32,4","32,7","33,1","33,5","34,9","35,0","17,7","17,9","18,3","18,6","18,7","19,4","20,1","20,5",,,,,,,"1,7","1,3"
Achtkarspelen,"29,9","29,6","29,6","30,3","30,5","31,5","32,4","32,6","16,3","16,4","16,8","17,3","17,5","18,0","18,5","19,0",,,,,,,"2,5","2,0"
Alblasserdam,"37,9","38,3","39,0","39,3","39,6","40,3","41,2","41,3","18,2","18,5","19,0","19,3","19,6","20,2","20,8","21,3",,,,,,,"1,8","1,4"
Albrandswaard,"47,5","48,2","49,3","49,1","50,2","50,9","52,9","52,2","24,2","25,0","25,4","25,8","26,0","26,9","27,6","27,9",,,,,,,"1,6","1,3"
Alkmaar,"35,9","36,0","36,3","36,9","37,4","37,9","38,9","39,1","21,5","21,8","22,2","22,7","23,0","23,5","24,2","24,7",,,,,,,"1,3","1,2"
Almelo,"31,9","32,1","32,1","32,4","32,6","32,9","33,8","33,8","18,2","18,5","18,7","19,0","19,1","19,5","20,0","20,5",,,,,,,"1,5","1,3"
Almere,"36,8","36,9","37,2","37,8","37,9","38,5","39,2","39,6","22,8","23,0","23,4","23,7","24,0","24,4","25,0","25,6",,,,,,,"1,2","1,2"
Alphen aan den Rijn,"40,1","40,2","40,4","40,6","41,0","41,7","42,8","42,7","21,6","21,9","22,2","22,6","23,0","23,6","24,2","24,9",,,,,,,"1,8","1,4"
Alphen-Chaam,"36,7","36,8","37,8","38,0","38,9","40,1","42,4","41,6","19,6","20,0","20,6","21,2","21,5","22,3","23,3","23,6",,,,,,,"0,8","1,2"
Altena,"38,6","38,6","39,2","39,5","40,6","40,8","42,7","42,1","18,1","18,4","18,7","19,2","19,6","20,0","20,7","21,2",,,,,,,"2,9","2,6"
Ameland,"30,3","30,4","31,0","31,3","31,9","32,3","33,9",?,"17,3","17,9","18,3","18,4","19,3","20,0","20,9",?,,,,,,,"6,6","3,6"
Amersfoort,"40,3","40,6","40,9","41,7","42,1","42,7","43,7","44,0","24,0","24,3","24,7","25,2","25,7","26,4","27,2","27,8",,,,,,,"1,4","1,2"
Amstelveen,"47,1","47,5","47,9","48,8","50,7","51,9","54,4","53,5","26,9","27,6","27,9","28,6","29,3","30,4","31,5","32,1",,,,,,,"1,6","1,3"
Amsterdam,"35,5","35,8","36,6","37,4","39,0","39,6","41,5","42,1","26,0","26,3","26,8","27,4","28,0","28,9","29,9","30,8",,,,,,,"0,8","0,8"
Apeldoorn,"37,1","37,3","37,6","38,2","38,4","39,1","40,0","39,9","20,6","20,9","21,2","21,7","22,0","22,6","23,1","23,5",,,,,,,"1,9","1,5"
Appingedam,"32,3","32,2","32,6","33,0","33,3","33,6","34,0","34,3","17,8","18,0","18,4","18,7","18,8","19,4","19,6","20,2",,,,,,,"1,9","2,3"
Arnhem,"33,1","33,4","33,7","34,1","34,3","35,0","35,6","35,9","21,8","22,1","22,5","22,8","23,2","23,7","24,2","24,8",,,,,,,"1,3","1,1"
Assen,"34,6","34,7","34,9","35,6","35,7","36,7","36,8","36,6","20,5","20,9","21,2","21,6","22,1","22,7","23,1","23,6",,,,,,,"1,9","1,8"
Asten,"34,7","35,0","35,1","35,6","35,8","36,9","38,3","38,0","18,5","18,6","19,2","19,5","20,1","20,7","21,4","22,0",,,,,,,"2,9","2,7"
Baarle-Nassau,"33,9","33,9","34,5","34,8","35,9","36,4","37,7","39,6","19,2","19,6","19,8","20,3","20,7","21,7","22,0","24,0",,,,,,,"3,3","2,3"
Baarn,"45,0","44,5","44,9","46,3","47,5","48,4","50,2","49,9","23,5","24,0","24,4","25,3","25,7","26,5","27,5","28,2",,,,,,,"1,8","1,8"
Barendrecht,"45,5","45,9","46,6","47,1","47,4","48,2","49,8","49,0","23,1","23,4","23,8","24,3","24,9","25,5","26,2","26,6",,,,,,,"1,6","1,7"
Barneveld,"36,7","36,8","37,3","38,2","38,7","39,6","41,8","41,5","17,5","18,0","18,2","18,5","19,0","19,4","20,2","20,6",,,,,,,"2,0","1,6"
Beek,"36,8","37,1","37,4","37,8","38,6","38,8","39,9","40,0","20,0","20,3","20,8","21,1","21,6","22,2","22,7","23,3",,,,,,,"1,1","1,5"
Beekdaelen,"35,8","35,9","36,4","36,9","37,8","38,1","39,6","39,8","19,9","20,3","20,6","21,1","21,6","22,2","22,9","23,5",,,,,,,"2,3","2,1"
Beemster,"41,7","41,5","40,9","41,5","42,8","44,0","47,2","45,2","21,6","22,1","22,4","23,3","23,7","24,6","25,9","26,7",,,,,,,"3,0","2,9"
Beesel,"32,8","33,1","33,3","34,4","34,6","35,4","36,8","36,6","17,7","17,9","18,1","18,2","18,6","19,0","19,8","20,1",,,,,,,"2,8","2,4"
Berg en Dal,"34,7","34,8","35,0","35,3","35,8","36,2","38,3","37,7","19,7","20,2","20,7","21,2","21,6","22,2","22,9","23,5",,,,,,,"1,3","1,3"
Bergeijk,"36,8","36,9","37,2","37,5","38,1","39,3","41,4","40,8","18,4","18,7","19,0","19,3","19,7","20,6","21,4","22,2",,,,,,,"2,8","1,9"
Bergen (L.),"31,9","32,2","32,4","32,7","33,5","33,9","35,8","35,8","17,3","17,7","18,0","18,3","18,6","19,2","20,6","20,6",,,,,,,"2,8","2,7"
Bergen (NH.),"43,3","43,4","43,7","44,6","44,8","45,9","50,3","47,9","21,6","21,9","22,4","22,9","23,3","24,1","25,6","25,5",,,,,,,"2,2","2,2"
Bergen op Zoom,"36,5","36,7","37,2","38,3","40,5","38,3","39,4","39,4","19,8","20,0","20,3","20,7","21,2","21,6","22,2","22,7",,,,,,,"2,1","2,0"
Berkelland,"33,1","33,4","33,5","33,7","33,8","34,7","35,9","36,2","18,4","18,7","19,0","19,3","19,4","19,9","20,7","21,2",,,,,,,"2,0","1,6"
Bernheze,"36,4","37,1","37,0","37,7","38,0","38,5","40,9","40,2","18,9","19,1","19,5","20,0","20,4","21,2","22,0","22,3",,,,,,,"2,6","2,0"
Best,"41,2","41,9","42,1","43,0","43,3","43,9","45,3","45,0","20,2","20,9","21,1","21,7","22,2","22,8","23,3","23,9",,,,,,,"1,8","1,6"
Beuningen,"38,0","37,9","38,4","39,0","39,3","40,0","41,2","41,2","20,3","20,8","21,1","21,6","22,1","22,9","23,6","24,0",,,,,,,"2,9","2,3"
Beverwijk,"36,5","36,2","36,3","36,8","37,0","37,5","38,6","38,9","20,5","20,8","21,2","21,6","21,8","22,4","23,1","23,6",,,,,,,"1,3","1,3"
Bladel,"35,6","36,3","36,9","36,9","37,5","38,1","39,8","39,4","18,8","19,3","19,5","19,6","20,2","20,7","21,4","22,1",,,,,,,"1,7","0,9"
Blaricum,"68,4","68,0","66,8","69,7","72,7","72,9","82,3","72,8","26,7","26,8","27,7","29,0","29,3","30,2","31,6","32,3",,,,,,,"3,5","2,9"
Bloemendaal,"69,3","68,8","70,8","73,6","74,9","75,7","86,6","76,9","28,8","29,5","30,2","30,9","32,3","33,5","35,6","35,4",,,,,,,"2,8","2,1"
Bodegraven-Reeuwijk,"42,9","42,3","43,0","43,7","44,4","44,3","47,1","45,5","20,8","21,1","21,6","21,9","22,2","22,8","23,9","24,2",,,,,,,"2,2","1,7"
Boekel,"32,8","33,6","33,5","33,0","34,9","35,7","37,5","37,6","17,3","17,9","18,2","18,2","18,7","19,6","20,6","21,1",,,,,,,"2,8","2,5"
Borger-Odoorn,"32,8","33,0","33,3","33,7","34,0","34,8","35,5","35,7","18,4","18,7","19,2","19,5","19,7","20,6","21,2","21,5",,,,,,,"3,1","2,5"
Borne,"36,8","37,5","37,7","38,3","38,5","38,8","39,9","40,6","19,7","20,1","20,5","20,9","21,2","21,9","22,8","23,4",,,,,,,"0,9","1,1"
Borsele,"36,6","36,8","37,5","37,9","37,9","38,8","39,8","39,8","18,7","19,2","19,4","19,6","20,0","20,5","20,8","21,7",,,,,,,"2,0","1,7"
Boxmeer,"35,6","36,0","36,4","36,7","36,7","36,9","38,4","38,3","19,5","19,9","20,4","20,5","20,9","21,5","22,0","22,6",,,,,,,"2,1","2,2"
Boxtel,"36,7","36,9","37,1","37,5","38,4","38,8","40,0","40,0","19,8","20,1","20,3","20,6","21,0","21,6","22,2","22,7",,,,,,,"2,0","2,0"
Breda,"38,3","38,6","39,1","39,7","40,4","40,9","42,7","42,2","22,0","22,3","22,8","23,3","23,7","24,4","25,1","25,8",,,,,,,"1,2","1,3"
Brielle,"43,6","44,7","45,9","46,4","47,2","47,7","49,4","48,8","21,2","21,5","22,2","22,7","23,1","23,4","24,3","25,0",,,,,,,"2,7","2,5"
Bronckhorst,"37,5","35,2","36,2","36,6","36,0","36,5","38,6","38,1","18,7","19,0","19,4","19,9","20,2","20,9","21,8","22,1",,,,,,,"2,4","1,7"
Brummen,"36,6","36,7","37,1","37,5","37,7","38,0","39,5","39,4","18,9","19,2","19,7","20,1","20,5","21,0","21,5","22,0",,,,,,,"1,5","1,7"
Brunssum,"30,9","31,3","31,7","32,1","32,5","33,3","33,8","34,2","18,3","18,6","18,8","19,2","19,5","20,0","20,5","20,8",,,,,,,"1,6","1,7"
Bunnik,"43,5","44,0","45,1","46,7","45,9","48,2","48,8","47,6","25,0","25,5","26,1","26,6","27,3","28,1","29,1","29,6",,,,,,,"1,0","1,6"
Bunschoten,"38,4","38,0","38,3","38,7","38,9","39,6","41,1","41,6","17,9","18,1","18,5","18,9","19,4","19,9","20,7","21,2",,,,,,,"1,3","1,7"
Buren,"39,1","39,3","39,4","39,9","40,3","41,1","43,0","42,8","20,5","20,6","20,8","21,3","21,7","22,4","23,3","23,9",,,,,,,"2,2","1,9"
Capelle aan den IJssel,"38,5","38,6","38,7","39,0","39,1","39,3","40,6","40,3","22,5","22,7","22,9","23,3","23,4","24,0","24,5","25,0",,,,,,,"2,3","2,0"
Castricum,"43,5","43,2","43,9","44,6","45,1","45,4","48,0","46,6","21,8","22,0","22,5","23,0","23,5","24,2","25,0","25,9",,,,,,,"1,3","1,4"
Coevorden,"33,6","33,9","34,3","34,8","34,7","35,8","37,2","36,6","18,1","18,6","19,0","19,4","19,6","20,0","20,7","21,0",,,,,,,"1,8","1,6"
Cranendonck,"36,3","36,6","36,8","37,3","37,3","38,1","40,0","40,1","18,9","19,1","19,6","20,0","20,3","20,8","21,4","22,0",,,,,,,"1,5","1,7"
Cuijk,"34,0","34,1","34,5","34,9","35,4","35,9","37,0","37,2","19,1","19,3","19,5","19,9","20,1","20,8","21,4","21,9",,,,,,,"2,2","1,8"
Culemborg,"38,0","38,7","38,8","39,0","39,4","40,3","41,9","42,1","21,5","21,8","22,2","22,6","22,9","23,6","24,3","24,9",,,,,,,"2,3","1,7"
Dalfsen,"35,2","35,3","35,6","35,8","36,1","37,3","39,5","39,3","18,3","18,6","18,9","19,3","19,8","20,6","21,2","22,0",,,,,,,"2,8","2,2"
Dantumadiel,"29,8","29,6","29,7","30,2","30,6","31,6","32,2","32,9","16,3","16,4","16,9","17,2","17,6","18,1","18,3","18,7",,,,,,,"2,8","2,7"
De Bilt,"49,9","49,5","50,0","50,8","51,6","51,7","54,2","52,9","26,0","26,5","26,9","27,7","28,6","29,5","30,6","31,0",,,,,,,"2,2","1,8"
De Fryske Marren,"33,6","33,8","34,0","34,9","34,9","35,5","37,0","37,3","18,2","18,4","18,8","19,2","19,5","20,1","20,7","21,2",,,,,,,"4,2","3,8"
De Ronde Venen,"45,3","45,0","45,5","46,7","46,8","47,6","50,9","48,5","23,5","23,8","24,1","24,8","25,4","26,1","27,1","27,9",,,,,,,"2,1","1,8"
De Wolden,"35,3","35,1","35,4","36,0","36,0","36,7","38,6","39,0","18,9","19,3","19,6","20,1","20,5","21,1","21,8","22,6",,,,,,,"2,2","2,2"
Delft,"32,0","32,0","32,0","32,3","32,2","33,1","34,4","34,4","22,5","22,7","22,9","23,3","23,6","24,2","24,8","25,2",,,,,,,"1,1","0,9"
Delfzijl,"32,2","32,3","32,9","33,0","33,5","33,4","34,4","35,1","17,4","17,6","17,9","18,2","18,3","18,7","19,2","19,8",,,,,,,"3,7","4,2"
Den Haag,"36,1","36,1","36,4","37,1","37,6","38,3","39,7","39,7","24,3","24,5","24,9","25,4","25,6","26,2","26,9","27,4",,,,,,,"0,9","0,9"
Den Helder,"33,6","33,9","34,0","34,9","35,5","35,8","36,4","36,7","18,7","18,9","19,2","19,6","19,8","20,2","20,7","21,3",,,,,,,"2,1","1,7"
Deurne,"33,9","34,4","34,6","34,8","34,9","36,4","37,8","38,2","18,0","18,4","18,8","19,0","19,4","20,2","21,0","21,5",,,,,,,"2,7","2,7"
Deventer,"34,4","34,6","34,8","35,2","35,6","36,0","36,7","37,0","20,8","21,0","21,5","21,9","22,2","22,8","23,3","23,8",,,,,,,"1,5","1,6"
Diemen,"36,0","35,8","35,9","35,9","35,8","36,9","37,7","38,5","24,4","24,7","24,9","25,0","25,4","26,3","26,9","28,0",,,,,,,"1,5","1,4"
Dinkelland,"33,3","33,5","34,1","34,4","34,7","35,7","37,6","37,1","18,1","18,5","19,0","19,3","19,6","20,2","21,3","21,6",,,,,,,"1,0","1,1"
Doesburg,"33,4","33,2","33,2","33,6","33,3","34,3","35,6","36,2","19,4","19,7","19,8","20,1","20,0","20,4","20,9","21,4",,,,,,,"2,4","2,4"
Doetinchem,"34,6","34,7","35,3","35,7","35,7","36,0","37,1","37,1","19,3","19,6","19,9","20,4","20,6","21,1","21,6","22,0",,,,,,,"2,4","1,8"
Dongen,"36,6","37,0","37,3","37,6","37,7","38,6","39,9","39,9","19,2","19,7","20,0","20,3","20,8","21,5","22,2","22,8",,,,,,,"1,3","1,3"
Dordrecht,"35,9","36,2","36,8","37,1","37,3","37,7","38,9","38,9","20,7","20,9","21,2","21,6","21,8","22,4","22,9","23,4",,,,,,,"1,4","1,1"
Drechterland,"36,4","36,3","36,8","36,9","37,3","38,5","40,1","39,3","19,0","19,3","19,6","20,0","20,3","20,9","21,6","21,9",,,,,,,"1,6","1,4"
Drimmelen,"38,4","38,5","39,0","39,2","40,3","40,9","42,1","41,8","19,6","19,9","20,4","20,7","21,2","21,9","22,5","23,1",,,,,,,"1,8","2,1"
Dronten,"36,2","35,4","36,2","36,7","36,6","37,5","38,3","38,7","18,8","19,1","19,6","20,1","20,3","20,9","21,4","22,2",,,,,,,"2,7","2,5"
Druten,"35,9","36,3","36,4","36,9","37,2","38,2","39,1","39,5","19,8","20,0","20,6","20,8","21,2","21,8","22,4","23,0",,,,,,,"2,8","2,2"
Duiven,"37,5","37,8","37,8","38,4","38,6","39,0","40,1","40,0","19,8","20,0","20,3","20,9","21,3","21,6","22,1","22,8",,,,,,,"1,4","1,7"
Echt-Susteren,"34,3","34,4","35,0","35,4","36,2","36,9","37,7","38,2","19,6","19,7","20,1","20,3","20,9","21,6","22,5","22,9",,,,,,,"2,2","1,8"
Edam-Volendam,"41,2","40,9","41,0","41,3","42,3","42,9","44,6","44,9","19,4","19,7","19,9","20,3","20,7","21,3","22,0","22,4",,,,,,,"1,4","1,1"
Ede,"37,0","37,3","37,3","38,0","38,4","39,1","40,8","40,5","19,6","19,9","20,2","20,6","20,9","21,5","22,1","22,6",,,,,,,"3,0","2,4"
Eemnes,"42,6","43,3","43,5","44,2","44,9","44,6","46,7","45,9","21,7","22,1","22,5","22,9","23,4","24,2","25,4","25,8",,,,,,,"1,9","1,6"
Eersel,"38,5","39,1","39,8","40,4","40,8","41,5","44,4","44,0","19,7","20,0","20,6","21,1","21,7","22,5","23,4","24,1",,,,,,,"1,7","1,6"
Eijsden-Margraten,"37,3","37,5","38,1","38,9","38,8","39,9","41,4","41,6","20,5","20,8","21,4","22,1","22,7","23,4","24,2","25,1",,,,,,,"2,2","1,6"
Eindhoven,"35,1","35,3","36,1","36,9","37,3","38,0","40,4","39,3","21,4","21,7","22,1","22,6","23,0","23,6","24,3","25,0",,,,,,,"1,2","1,0"
Elburg,"35,2","35,3","35,5","35,9","36,5","37,3","37,8","38,2","17,2","17,5","17,7","18,0","18,5","18,7","19,2","19,6",,,,,,,"2,5","1,7"
Emmen,"31,4","31,5","31,7","32,2","32,3","33,0","33,8","33,9","17,6","17,8","18,2","18,7","18,9","19,3","19,6","20,1",,,,,,,"1,8","1,6"
Enkhuizen,"34,2","34,7","34,6","34,9","35,5","36,2","37,3","37,4","19,2","19,7","19,9","20,6","20,7","21,3","21,8","22,2",,,,,,,"1,5","1,6"
Enschede,"29,7","29,8","29,8","30,3","30,6","31,4","32,1","32,2","18,6","18,8","19,1","19,6","19,8","20,2","20,7","21,1",,,,,,,"1,5","1,4"
Epe,"36,4","36,6","37,1","37,6","37,9","38,4","39,9","39,5","18,3","18,7","19,1","19,5","19,8","20,3","20,9","21,5",,,,,,,"2,0","2,3"
Ermelo,"37,7","37,7","37,8","39,0","39,8","40,0","42,0","41,8","19,9","20,3","20,6","21,0","21,3","21,9","22,4","22,8",,,,,,,"2,2","2,0"
Etten-Leur,"37,6","37,7","38,5","39,3","39,6","40,2","41,4","41,4","19,9","20,0","20,4","21,0","21,3","21,9","22,4","23,1",,,,,,,"1,0","1,2"
Geertruidenberg,"37,9","38,1","38,2","38,6","39,6","39,8","41,1","40,8","19,1","19,4","19,7","20,1","20,6","21,2","21,9","22,3",,,,,,,"1,9","1,3"
Geldrop-Mierlo,"37,7","38,1","38,8","39,3","39,3","40,2","41,2","41,3","20,2","20,7","20,8","21,2","21,5","21,9","22,6","23,2",,,,,,,"1,5","1,3"
Gemert-Bakel,"33,5","33,9","34,2","34,8","35,0","36,3","38,2","38,0","18,2","18,7","18,9","19,4","19,5","20,3","21,1","21,5",,,,,,,"3,2","3,0"
Gennep,"33,7","34,3","34,1","34,6","35,2","35,5","36,2","36,7","19,6","19,7","19,9","20,2","20,7","21,2","21,6","22,2",,,,,,,"2,0","2,1"
